fdc_id,description
1750340,"Apples, fuji, with skin, raw"
1750341,"Apples, gala, with skin, raw"
1750342,"Apples, granny smith, with skin, raw"
1750343,"Apples, honeycrisp, with skin, raw"
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable"
1750339,"Apples, red delicious, with skin, raw"
2346414,"Applesauce, unsweetened, with added vitamin C"
1105073,"Bananas, overripe, raw"
1105314,"Bananas, ripe and slightly ripe, raw"
2346411,"Blueberries, raw"
2346399,"Cherries, sweet, dark red, raw"
2003594,"Cranberry juice, not fortified, from concentrate, shelf stable"
746768,"Figs, dried, uncooked"
2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable"
2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable"
2003595,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated"
325287,"Grapefruit juice, white, canned or bottled, unsweetened"
2346413,"Grapes, green, seedless, raw"
2346412,"Grapes, red, seedless, raw"
327046,"Kiwifruit, green, raw"
746770,"Melons, cantaloupe, raw"
327357,"Nectarines, raw"
2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated"
2003597,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated"
746771,"Oranges, raw, navels"
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)"
325430,"Peaches, yellow, raw"
746773,"Pears, raw, bartlett"
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)"
2346398,"Pineapple, raw"
2346410,"Raspberries, raw"
2346409,"Strawberries, raw"
