fdc_id,description
325871,"Bread, white, commercially prepared"
335240,"Bread, whole-wheat, commercially prepared"
2512378,"Buckwheat, whole grain"
2003586,"Flour, 00"
2512371,"Flour, amaranth"
2512376,"Flour, barley"
790146,"Flour, bread, white, enriched, unbleached"
2512374,"Flour, buckwheat"
2512377,"Flour, cassava"
790276,"Flour, corn, yellow, fine meal, enriched"
2261421,"Flour, oat, whole grain"
2512372,"Flour, quinoa"
1104812,"Flour, rice, brown"
1104867,"Flour, rice, glutinous"
790214,"Flour, rice, white, unenriched"
2512375,"Flour, rye"
1104913,"Flour, pastry, unenriched, unbleached"
2003588,"Flour, semolina, coarse and semi-coarse"
2003589,"Flour, semolina, fine"
2512373,"Flour, sorghum"
1104705,"Flour, soy, defatted"
1104766,"Flour, soy, full-fat"
2003587,"Flour, spelt, whole grain"
789890,"Flour, wheat, all-purpose, enriched, bleached"
789951,"Flour, wheat, all-purpose, enriched, unbleached"
790018,"Flour, wheat, all-purpose, unenriched, unbleached"
790085,"Flour, whole wheat, unenriched"
2512379,"Millet, whole grain"
2257046,"Oat milk, unsweetened, plain, refrigerated"
2346396,"Oats, whole grain, rolled, old fashioned"
2346397,"Oats, whole grain, steel cut"
2512380,"Rice, brown, long grain, unenriched, raw"
2512381,"Rice, white, long grain, unenriched, raw"
