fdc_id,description
2262074,"Almond butter, creamy"
2646174,"Beef, chuck, roast, boneless, choice, raw"
2646175,"Beef, flank, steak, boneless, choice, raw"
2514744,"Beef, ground, 80% lean meat / 20% fat, raw"
2514743,"Beef, ground, 90% lean meat / 10% fat, raw"
334897,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted"
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted"
334849,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw"
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw"
2646172,"Beef, ribeye, steak, boneless, choice, raw"
334898,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
2646173,"Beef, round, top round, boneless, choice, raw"
334963,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
335109,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw"
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw"
335061,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"
2646170,"Chicken, breast, boneless, skinless, raw"
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, "
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised"
2514746,"Chicken, ground, with additives, raw"
2646171,"Chicken, thigh, boneless, skinless, raw"
2684446,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated"
2684443,"Crustaceans, shrimp, farm raised, raw"
747997,"Eggs, Grade A, Large, egg white"
748967,"Eggs, Grade A, Large, egg whole"
748236,"Eggs, Grade A, Large, egg yolk"
323604,"Egg, whole, raw, frozen, pasteurized"
323697,"Egg, white, raw, frozen, pasteurized"
323793,"Egg, white, dried"
329490,"Egg, whole, dried"
329596,"Egg, yolk, raw, frozen, pasteurized"
329716,"Egg, yolk, dried"
2684445,"Fish, catfish, farm raised, raw"
2684444,"Fish, cod, Atlantic, wild caught, raw"
333374,"Fish, haddock, raw"
333476,"Fish, pollock, raw"
2684441,"Fish, salmon, Atlantic, farm raised, raw"
2684440,"Fish, salmon, sockeye, wild caught, raw"
2684442,"Fish, tilapia, farm raised, raw"
334194,"Fish, tuna, light, canned in water, drained solids"
2515377,"Flour, chestnut"
1104705,"Flour, soy, defatted"
1104766,"Flour, soy, full-fat"
323121,"Frankfurter, beef, unheated"
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)"
746952,"Ham, sliced, restaurant"
323294,"Nuts, almonds, dry roasted, with salt added"
2346393,"Nuts, almonds, whole, raw"
2515373,"Nuts, brazilnuts, raw"
2515374,"Nuts, cashew nuts, raw"
2515375,"Nuts, hazelnuts or filberts, raw"
2515378,"Nuts, macadamia nuts, raw"
2346395,"Nuts, pecans, halves, raw"
2346392,"Nuts, pine nuts, raw"
2515379,"Nuts, pistachio nuts, raw"
2346394,"Nuts, walnuts, English, halves, raw"
2262072,"Peanut butter, creamy"
2515376,"Peanuts, raw"
749420,"Pork, cured, bacon, cooked, restaurant"
2514745,"Pork, ground, raw"
2646168,"Pork, loin, boneless, raw"
2646169,"Pork, loin, tenderloin, boneless, raw"
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared"
746780,"Sausage, Italian, pork, mild, cooked, pan-fried"
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried"
746783,"Sausage, turkey, breakfast links, mild, raw"
2515380,"Seeds, pumpkin seeds (pepitas), raw"
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added"
2515381,"Seeds, sunflower seed, kernel, raw"
2262073,"Sesame butter, creamy"
2257044,"Soy milk, sweetened, plain, refrigerated"
1999630,"Soy milk, unsweetened, plain, shelf stable"
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles"
2514747,"Turkey, ground, 93% lean/ 7% fat, raw"
