fdc_id,description
2644281,"Beans, cannellini, dry"
747444,"Beans, Dry, Black (0% moisture)"
335912,"Beans, Dry, Black (0% moisture)"
747433,"Beans, Dry, Brown (0% moisture)"
747436,"Beans, Dry, Carioca (0% moisture)"
747437,"Beans, Dry, Cranberry (0% moisture)"
335245,"Beans, Dry, Dark Red Kidney (0% moisture)"
747440,"Beans, Dry, Dark Red Kidney (0% moisture)"
747432,"Beans, Dry, Flor de Mayo (0% moisture)"
336067,"Beans, Dry, Great Northern (0% moisture)"
747446,"Beans, Dry, Great Northern (0% moisture)"
747438,"Beans, Dry, Light Red Kidney (0% moisture)"
747435,"Beans, Dry, Light Tan (0% moisture)"
747430,"Beans, Dry, Medium Red (0% moisture)"
335419,"Beans, Dry, Navy (0% moisture)"
747441,"Beans, Dry, Navy (0% moisture)"
747439,"Beans, Dry, Pink (0% moisture)"
335695,"Beans, Dry, Pinto (0% moisture)"
747445,"Beans, Dry, Pinto (0% moisture)"
747431,"Beans, Dry, Red (0% moisture)"
747443,"Beans, Dry, Small Red (0% moisture)"
747442,"Beans, Dry, Small White (0% moisture)"
747434,"Beans, Dry, Tan (0% moisture)"
2346400,"Beans, snap, green, raw"
2685576,"Beets, raw"
2644284,"Blackeye pea, dry"
321900,"Broccoli, raw"
747447,"Broccoli, raw"
2685575,"Brussels sprouts, raw"
2685572,"Cabbage, bok choy, raw"
2346407,"Cabbage, green, raw"
2346408,"Cabbage, red, raw"
326458,"Carrots, frozen, unprepared"
746764,"Carrots, frozen, unprepared"
2258587,"Carrots, baby, raw"
2258586,"Carrots, mature, raw"
2685573,"Cauliflower, raw"
2346405,"Celery, raw"
2644282,"Chickpeas, (garbanzo beans, bengal gram), dry"
2685574,"Collards, raw"
2346406,"Cucumber, with peel, raw"
2685577,"Eggplant, raw"
2261422,"Flour, potato"
1104647,"Garlic, raw"
321358,"Hummus, commercial"
326196,"Kale, frozen, cooked, boiled, drained, without salt"
323505,"Kale, raw"
327923,"Lettuce, cos or romaine, raw"
746769,"Lettuce, cos or romaine, raw"
2346388,"Lettuce, iceberg, raw"
2346389,"Lettuce, romaine, green, raw"
2346390,"Lettuce, leaf, red, raw"
2346391,"Lettuce, leaf, green, raw"
2644283,"Lentils, dry"
2003603,"Mushroom, beech"
2003601,"Mushroom, crimini"
2003600,"Mushroom, enoki"
2003599,"Mushroom, king oyster"
1999626,"Mushroom, lion's mane"
2003602,"Mushroom, maitake"
2003598,"Mushroom, portabella"
1750345,"Mushroom, oyster"
1999627,"Mushroom, oyster"
2003604,"Mushroom, pioppini"
1750346,"Mushrooms, shiitake"
1999628,"Mushrooms, shiitake"
1999629,"Mushrooms, white button"
790577,"Onions, red, raw"
790646,"Onions, yellow, raw"
1104962,"Onions, white, raw"
2644291,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed'"
2258588,"Peppers, bell, green, raw"
2258591,"Peppers, bell, orange, raw"
2258590,"Peppers, bell, red, raw"
2258589,"Peppers, bell, yellow, raw"
2346403,"Potatoes, gold, without skin, raw"
2346402,"Potatoes, red, without skin, raw"
2346401,"Potatoes, russet, without skin, raw"
324653,"Pickles, cucumber, dill or kosher dill"
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve"
1750352,"Spinach, baby"
1999632,"Spinach, baby"
1750353,"Spinach, mature"
1999633,"Spinach, mature"
2685568,"Squash, summer, green, zucchini, includes skin, raw"
2685569,"Squash, summer, yellow, includes skin, raw"
2685571,"Squash, winter, acorn, raw"
2685570,"Squash, winter, butternut, raw"
2346404,"Sweet potatoes, orange flesh, without skin, raw"
2003596,"Tomato juice, with added ingredients, from concentrate, shelf stable"
1999634,"Tomato, roma"
333281,"Tomatoes, canned, red, ripe, diced"
321360,"Tomatoes, grape, raw"
