name,nutrient_id
Energy (Atwater General Factors),2047
Energy (Atwater Specific Factors),2048
Solids,1001
Nitrogen,1002
Protein,1003
Total lipid (fat),1004
"Carbohydrate, by difference",1005
"Fiber, crude (DO NOT USE - Archived)",1006
Ash,1007
Energy,1008
Starch,1009
Sucrose,1010
Glucose,1011
Fructose,1012
Lactose,1013
Maltose,1014
Amylose,1015
Amylopectin,1016
Pectin,1017
"Alcohol, ethyl",1018
Pentosan,1019
Pentoses,1020
Hemicellulose,1021
Cellulose,1022
pH,1023
Specific Gravity,1024
Organic acids,1025
Acetic acid,1026
Aconitic acid,1027
Benzoic acid,1028
Chelidonic acid,1029
Chlorogenic acid,1030
Cinnamic acid,1031
Citric acid,1032
Fumaric acid,1033
Galacturonic acid,1034
Gallic acid,1035
Glycolic acid,1036
Isocitric acid,1037
Lactic acid,1038
Malic acid,1039
Oxaloacetic acid,1040
Oxalic acid,1041
Phytic acid,1042
Pyruvic acid,1043
Quinic acid,1044
Salicylic acid,1045
Succinic acid,1046
Tartaric acid,1047
Ursolic acid,1048
"Solids, non-fat",1049
"Carbohydrate, by summation",1050
Water,1051
Adjusted Nitrogen,1052
Adjusted Protein,1053
Piperine,1054
Mannitol,1055
Sorbitol,1056
Caffeine,1057
Theobromine,1058
Nitrates,1059
Nitrites,1060
"Nitrosamine,total",1061
Energy,1062
"Sugars, Total",1063
"Solids, soluble",1064
Glycogen,1065
"Fiber, neutral detergent (DO NOT USE - Archived)",1066
Reducing sugars,1067
Beta-glucans,1068
Oligosaccharides,1069
Nonstarch polysaccharides,1070
Resistant starch,1071
"Carbohydrate, other",1072
Arabinose,1073
Xylose,1074
Galactose,1075
Raffinose,1076
Stachyose,1077
Xylitol,1078
"Fiber, total dietary",1079
Lignin,1080
Ribose,1081
"Fiber, soluble",1082
Theophylline,1083
"Fiber, insoluble",1084
Total fat (NLEA),1085
Total sugar alcohols,1086
"Calcium, Ca",1087
"Chlorine, Cl",1088
"Iron, Fe",1089
"Magnesium, Mg",1090
"Phosphorus, P",1091
"Potassium, K",1092
"Sodium, Na",1093
"Sulfur, S",1094
"Zinc, Zn",1095
"Chromium, Cr",1096
"Cobalt, Co",1097
"Copper, Cu",1098
"Fluoride, F",1099
"Iodine, I",1100
"Manganese, Mn",1101
"Molybdenum, Mo",1102
"Selenium, Se",1103
"Vitamin A, IU",1104
Retinol,1105
"Vitamin A, RAE",1106
"Carotene, beta",1107
"Carotene, alpha",1108
Vitamin E (alpha-tocopherol),1109
"Vitamin D (D2 + D3), International Units",1110
Vitamin D2 (ergocalciferol),1111
Vitamin D3 (cholecalciferol),1112
25-hydroxycholecalciferol,1113
Vitamin D (D2 + D3),1114
25-hydroxyergocalciferol,1115
Phytoene,1116
Phytofluene,1117
"Carotene, gamma",1118
Zeaxanthin,1119
"Cryptoxanthin, beta",1120
Lutein,1121
Lycopene,1122
Lutein + zeaxanthin,1123
Vitamin E (label entry primarily),1124
"Tocopherol, beta",1125
"Tocopherol, gamma",1126
"Tocopherol, delta",1127
"Tocotrienol, alpha",1128
"Tocotrienol, beta",1129
"Tocotrienol, gamma",1130
"Tocotrienol, delta",1131
"Aluminum, Al",1132
"Antimony, Sb",1133
"Arsenic, As",1134
"Barium, Ba",1135
"Beryllium, Be",1136
"Boron, B",1137
"Bromine, Br",1138
"Cadmium, Cd",1139
"Gold, Au",1140
"Iron, heme",1141
"Iron, non-heme",1142
"Lead, Pb",1143
"Lithium, Li",1144
"Mercury, Hg",1145
"Nickel, Ni",1146
"Rubidium, Rb",1147
Fluoride - DO NOT USE; use 313,1148
"Salt, NaCl",1149
"Silicon, Si",1150
"Silver, Ag",1151
"Strontium, Sr",1152
"Tin, Sn",1153
"Titanium, Ti",1154
"Vanadium, V",1155
"Vitamin A, RE",1156
Carotene,1157
Vitamin E,1158
cis-beta-Carotene,1159
cis-Lycopene,1160
cis-Lutein/Zeaxanthin,1161
"Vitamin C, total ascorbic acid",1162
"Vitamin C, reduced ascorbic acid",1163
"Vitamin C, dehydro ascorbic acid",1164
Thiamin,1165
Riboflavin,1166
Niacin,1167
"Niacin from tryptophan, determined",1168
Niacin equivalent N406 +N407,1169
Pantothenic acid,1170
"Vitamin B-6, pyridoxine, alcohol form",1171
"Vitamin B-6, pyridoxal, aldehyde form",1172
"Vitamin B-6, pyridoxamine, amine form",1173
"Vitamin B-6, N411 + N412 +N413",1174
Vitamin B-6,1175
Biotin,1176
"Folate, total",1177
Vitamin B-12,1178
"Folate, free",1179
"Choline, total",1180
Inositol,1181
Inositol phosphate,1182
Vitamin K (Menaquinone-4),1183
Vitamin K (Dihydrophylloquinone),1184
Vitamin K (phylloquinone),1185
Folic acid,1186
"Folate, food",1187
5-methyl tetrahydrofolate (5-MTHF),1188
"Folate, not 5-MTHF",1189
"Folate, DFE",1190
10-Formyl folic acid (10HCOFA),1191
5-Formyltetrahydrofolic acid (5-HCOH4,1192
Tetrahydrofolic acid (THF),1193
"Choline, free",1194
