,nutrient_id,nut_name_list,nut_amt,nut_unit
0,1051,Water,90.0,G
1,1085,Total fat (NLEA),0.07,G
2,1004,Total lipid (fat),0.34,G
3,1258,Saturated fat,0.039,G
4,1292,"Fatty acids, total monounsaturated",0.011,G
5,1293,"Fatty acids, total polyunsaturated",0.017,G
6,1257,Trans fat,0.0,
7,1253,Cholesterol,0.0,
8,1093,Sodium,36.0,MG
9,1005,"Carbohydrate, by difference",6.29,G
10,1050,"Carbohydrate, by summation",3.81,G
11,1079,"Fiber, total dietary",2.4,G
12,1063,"Sugars, total",1.4,G
13,1002,Nitrogen,0.41,G
14,1003,Protein,2.57,G
15,1106,"Vitamin A, RAE",8.0,UG
16,1162,Vitamin C (total ascorbic acid),53.3,MG
17,1114,Vitamin D,0.0,
18,1109,Vitamin E (alpha-tocopherol),0.15,MG
19,1183,Vitamin K (Menaquinone-4),0.0,
20,1184,Vitamin K (Dihydrophylloquinone),0.0,UG
21,1185,Vitamin K (phylloquinone),102.0,UG
22,1165,Vitamin B1 (thiamin),0.077,MG
23,1166,Vitamin B2 (riboflavin),0.114,MG
24,1167,Vitamin B3 (niacin),0.639,MG
25,1170,Vitamin B5 (pantothenic acid),0.61,MG
26,1175,Vitamin B6 (pyridoxine),0.191,MG
27,1176,Vitamin B7 (biotin),0.0,
28,1177,Vitamin B9 (folate),65.0,UG
29,1178,Vitamin B12 (cobalamin),0.0,
30,1087,Calcium,46.0,MG
31,1091,Phosphorus,67.0,MG
32,1092,Potassium,303.0,MG
33,1088,Chloride,0.0,
34,1090,Magnesium,21.0,MG
35,1089,Iron,0.69,MG
36,1095,Zinc,0.42,MG
37,1100,Iodine,0.0,
38,1094,Sulfur,0.0,
39,1097,Cobalt,0.0,
40,1098,Copper,0.059,MG
41,1099,Fluoride,0.0,
42,1101,Manganese,0.197,MG
43,1103,Selenium,1.6,UG
