,nutrient_id,nut_name_list,nut_amt,nut_unit
0,1085,Total fat (NLEA),53.4,G
1,1004,Total lipid (fat),57.8,G
2,1258,Saturated fat,4.56,G
3,1292,"Fatty acids, total monounsaturated",34.2,G
4,1293,"Fatty acids, total polyunsaturated",14.5,G
5,1257,Trans fat,0.032,G
6,1253,Cholesterol,0.0,
7,1093,Sodium,256.0,MG
8,1005,"Carbohydrate, by difference",16.2,G
9,1050,"Carbohydrate, by summation",0.0,
10,1079,"Fiber, total dietary",11.0,G
11,1063,"Sugars, total",4.17,G
12,1002,Nitrogen,3.94,G
13,1003,Protein,20.4,G
14,1106,"Vitamin A, RAE",2.0,UG
15,1162,Vitamin C (total ascorbic acid),0.0,MG
16,1114,Vitamin D,0.0,
17,1109,Vitamin E (alpha-tocopherol),19.0,MG
18,1183,Vitamin K (Menaquinone-4),0.0,UG
19,1184,Vitamin K (Dihydrophylloquinone),0.0,UG
20,1185,Vitamin K (phylloquinone),0.0,UG
21,1165,Vitamin B1 (thiamin),0.079,MG
22,1166,Vitamin B2 (riboflavin),1.57,MG
23,1167,Vitamin B3 (niacin),3.1,MG
24,1170,Vitamin B5 (pantothenic acid),0.237,MG
25,1175,Vitamin B6 (pyridoxine),0.075,MG
26,1176,Vitamin B7 (biotin),0.0,
27,1177,Vitamin B9 (folate),35.0,UG
28,1178,Vitamin B12 (cobalamin),0.0,
29,1087,Calcium,273.0,MG
30,1091,Phosphorus,456.0,MG
31,1092,Potassium,684.0,MG
32,1088,Chloride,0.0,
33,1090,Magnesium,258.0,MG
34,1089,Iron,3.17,MG
35,1095,Zinc,2.8,MG
36,1100,Iodine,0.0,
37,1094,Sulfur,0.0,
38,1097,Cobalt,0.0,
39,1098,Copper,0.87,MG
40,1099,Fluoride,0.0,
41,1101,Manganese,2.02,MG
42,1103,Selenium,0.0,UG
