,nutrient_id,nut_name_list,nut_amt,nut_unit
0,1085,Total fat (NLEA),0.0,
1,1004,Total lipid (fat),0.27,G
2,1258,Saturated fat,0.0,
3,1292,"Fatty acids, total monounsaturated",0.0,
4,1293,"Fatty acids, total polyunsaturated",0.0,
5,1257,Trans fat,0.0,
6,1253,Cholesterol,0.0,
7,1093,Sodium,13.0,MG
8,1005,"Carbohydrate, by difference",10.1,G
9,1050,"Carbohydrate, by summation",9.87,G
10,1079,"Fiber, total dietary",1.5,G
11,1063,"Sugars, total",8.39,G
12,1002,Nitrogen,0.15,G
13,1003,Protein,0.91,G
14,1106,"Vitamin A, RAE",24.0,UG
15,1162,Vitamin C (total ascorbic acid),4.1,MG
16,1114,Vitamin D,0.0,
17,1109,Vitamin E (alpha-tocopherol),0.0,
18,1183,Vitamin K (Menaquinone-4),0.0,
19,1184,Vitamin K (Dihydrophylloquinone),0.0,UG
20,1185,Vitamin K (phylloquinone),3.0,UG
21,1165,Vitamin B1 (thiamin),0.024,MG
22,1166,Vitamin B2 (riboflavin),0.031,MG
23,1167,Vitamin B3 (niacin),0.806,MG
24,1170,Vitamin B5 (pantothenic acid),0.153,MG
25,1175,Vitamin B6 (pyridoxine),0.025,MG
26,1176,Vitamin B7 (biotin),0.0,
27,1177,Vitamin B9 (folate),6.0,UG
28,1178,Vitamin B12 (cobalamin),0.0,
29,1087,Calcium,4.0,MG
30,1091,Phosphorus,22.0,MG
31,1092,Potassium,122.0,MG
32,1088,Chloride,0.0,
33,1090,Magnesium,8.0,MG
34,1089,Iron,0.34,MG
35,1095,Zinc,0.23,MG
36,1100,Iodine,0.0,
37,1094,Sulfur,0.0,
38,1097,Cobalt,0.0,
39,1098,Copper,0.078,MG
40,1099,Fluoride,0.0,
41,1101,Manganese,0.026,MG
42,1103,Selenium,2.1,UG
